Name,Score,Kill,Death,Damage,PlayCount,O_Kill,O_Death,Trade,Assist,ACE,4Kill,3Kill,2Kill,Headshot,HeadshotPer,Shot,ShotPer,5v1,4v1,3v1,2v1,1v1,FlashAssist,FlashBlind,FlashDuration,MolDMG,HeDMG,AK47-Kill,AK47-DMG,AWP-Kill,AWP-DMG,M4A1-Kill,M4A1-DMG,Deagle-Kill,Deagle-DMG,Glock-Kill,Glock-DMG,USP-Kill,USP-DMG
ZywOo,6.9,0.81,0.57,83.07,150,0.136,0.082,0.149,0.188,2,23,129,453,0.33,40.5%,10.36,18.8%,0,2,6,22,19,0.022,1.19,1.68,1.77,1.90,0.211,22.27,0.271,24.30,0.105,10.41,0.040,4.02,0.019,2.22,0.041,3.94
m0NESY,6.7,0.79,0.59,78.83,100,0.139,0.076,0.148,0.165,4,40,170,528,0.32,41.0%,8.39,18.0%,1,0,7,12,32,0.041,1.52,1.80,1.48,1.48,0.141,13.68,0.379,34.68,0.069,6.75,0.035,3.65,0.037,3.94,0.032,3.62
dev1ce,6.5,0.73,0.58,76.59,152,0.128,0.071,0.116,0.179,0,18,103,328,0.22,29.6%,8.88,18.1%,0,0,7,14,23,0.037,1.48,1.74,1.81,2.80,0.117,11.97,0.368,33.83,0.063,5.90,0.025,2.92,0.026,2.74,0.021,2.50
frozen,6.5,0.73,0.59,81.71,150,0.089,0.080,0.143,0.213,6,31,156,450,0.38,52.0%,13.26,17.8%,0,3,6,8,28,0.013,0.89,1.16,1.77,4.23,0.304,31.76,0.004,0.30,0.184,18.67,0.012,1.66,0.030,3.47,0.034,3.61
NiKo,6.4,0.74,0.63,82.35,116,0.129,0.114,0.127,0.189,4,36,171,466,0.40,54.6%,13.19,16.7%,0,0,3,11,28,0.011,1.01,1.44,2.36,4.80,0.333,34.09,0.011,0.92,0.127,12.60,0.046,5.31,0.020,2.03,0.042,4.35
Spinx,6.4,0.73,0.61,76.98,189,0.109,0.077,0.135,0.160,2,20,107,363,0.39,54.1%,12.83,17.9%,0,0,6,5,25,0.008,0.60,0.84,1.28,2.36,0.308,30.82,0.004,0.33,0.197,19.49,0.026,3.05,0.027,3.02,0.038,3.66
ropz,6.4,0.73,0.60,78.59,189,0.097,0.078,0.127,0.139,5,29,182,574,0.41,56.3%,10.61,21.2%,0,1,4,22,28,0.007,0.57,0.62,1.03,2.07,0.332,33.26,0.017,1.54,0.064,6.63,0.016,1.75,0.024,2.70,0.036,3.54
broky,6.4,0.72,0.61,74.66,95,0.088,0.045,0.143,0.180,3,19,171,604,0.26,36.2%,8.69,19.0%,1,0,3,16,37,0.031,1.66,1.81,1.48,2.22,0.142,14.44,0.302,27.18,0.070,6.90,0.032,3.70,0.028,3.10,0.027,3.18
stavn,6.3,0.72,0.66,81.17,114,0.110,0.089,0.145,0.200,2,12,95,336,0.33,45.5%,18.61,13.3%,0,0,0,8,14,0.013,1.09,1.51,1.46,4.84,0.323,32.67,0.013,1.27,0.224,23.45,0.023,2.42,0.023,2.64,0.027,2.82
SunPayus,6.3,0.71,0.58,72.72,100,0.126,0.081,0.126,0.148,2,28,95,368,0.23,32.0%,7.02,22.3%,0,1,2,13,26,0.026,1.33,1.66,1.58,1.27,0.120,12.37,0.345,30.45,0.060,6.21,0.011,1.57,0.028,2.99,0.035,3.21
Jame,6.2,0.67,0.54,67.64,116,0.096,0.037,0.133,0.210,0,13,64,289,0.21,30.9%,6.93,19.5%,0,0,2,6,22,0.076,2.49,3.09,2.23,2.29,0.093,8.59,0.381,33.61,0.037,3.61,0.002,0.24,0.022,2.47,0.043,4.71
Nertz,6.2,0.70,0.64,76.83,100,0.111,0.089,0.118,0.158,4,23,103,350,0.36,51.9%,13.79,17.3%,0,0,5,12,29,0.007,0.77,1.08,1.30,2.82,0.328,33.64,0.007,0.58,0.161,16.46,0.010,1.17,0.017,2.18,0.024,2.47
EliGE,6.2,0.70,0.67,80.35,115,0.125,0.117,0.155,0.189,3,15,85,303,0.38,54.1%,13.97,17.7%,0,1,0,3,12,0.008,0.89,1.13,1.35,3.04,0.299,31.67,0.006,0.54,0.194,19.81,0.017,2.48,0.019,2.38,0.014,1.53
torzsi,6.2,0.70,0.58,70.68,97,0.105,0.064,0.130,0.158,4,21,98,317,0.22,32.1%,7.44,20.1%,0,3,2,11,10,0.040,1.41,1.64,1.37,1.87,0.080,8.72,0.372,33.46,0.051,5.09,0.009,1.10,0.023,2.80,0.031,3.27
Magisk,6.2,0.68,0.63,78.42,107,0.099,0.099,0.124,0.185,1,16,88,294,0.34,49.7%,15.29,15.0%,0,1,0,9,16,0.011,0.79,0.99,1.90,5.04,0.277,29.13,0.006,0.58,0.158,17.18,0.026,3.16,0.032,3.43,0.031,3.40
flameZ,6.2,0.67,0.63,74.39,100,0.114,0.111,0.138,0.200,0,14,99,287,0.33,49.6%,13.79,16.7%,0,0,3,7,23,0.011,1.03,1.30,1.78,4.36,0.295,29.99,0.001,0.08,0.146,14.26,0.015,1.84,0.033,3.55,0.030,3.10
FL1T,6.2,0.67,0.64,80.07,109,0.124,0.120,0.110,0.225,2,15,85,263,0.34,50.4%,14.35,16.6%,0,0,0,8,9,0.007,0.87,1.22,2.73,7.01,0.313,33.66,0.004,0.38,0.111,11.48,0.001,0.13,0.031,3.13,0.043,4.53
b1t,6.2,0.69,0.64,74.20,115,0.112,0.098,0.123,0.158,0,19,89,342,0.44,64.0%,11.19,18.3%,0,0,3,6,13,0.010,0.95,1.13,1.52,1.97,0.310,30.08,0.006,0.55,0.123,12.52,0.012,1.50,0.033,3.86,0.034,3.84
xertioN,6.1,0.69,0.69,78.58,118,0.137,0.136,0.105,0.197,0,16,105,304,0.37,53.0%,13.06,18.5%,0,0,0,4,15,0.008,0.84,1.09,1.46,3.44,0.286,30.32,0.003,0.24,0.168,17.35,0.017,2.21,0.027,3.25,0.026,3.04
electroNic,6.1,0.69,0.69,76.48,134,0.115,0.130,0.139,0.218,2,20,105,356,0.35,50.1%,12.71,19.6%,0,0,1,10,18,0.011,1.17,1.48,1.54,2.54,0.280,29.10,0.001,0.13,0.166,15.86,0.002,0.46,0.037,4.05,0.017,2.04
Twistzz,6.1,0.67,0.63,74.41,113,0.082,0.086,0.152,0.181,2,25,130,388,0.39,57.7%,13.90,15.6%,0,0,2,7,10,0.010,0.99,1.24,1.83,3.35,0.306,31.45,0.012,1.04,0.085,8.13,0.018,2.32,0.019,2.25,0.025,2.52
mezii,6.1,0.65,0.64,73.91,150,0.094,0.083,0.132,0.191,2,19,100,302,0.37,57.3%,14.68,14.5%,0,2,3,7,15,0.016,0.90,1.30,1.77,3.42,0.272,27.67,0.002,0.19,0.154,16.01,0.025,2.88,0.025,2.87,0.026,2.77
huNter,6.1,0.67,0.65,74.46,95,0.090,0.085,0.139,0.180,1,28,130,425,0.32,48.3%,13.31,17.1%,0,0,3,8,23,0.011,0.93,1.28,1.65,4.58,0.264,26.27,0.002,0.20,0.079,7.72,0.009,0.90,0.024,2.65,0.027,3.05
Jabbi,6.1,0.68,0.65,70.98,119,0.113,0.107,0.123,0.151,1,15,92,282,0.39,56.9%,12.35,17.1%,0,0,5,8,17,0.012,1.09,1.52,1.37,2.91,0.288,28.52,0.003,0.21,0.166,15.73,0.025,2.71,0.023,2.35,0.027,2.92
jL,6.1,0.68,0.66,74.75,101,0.099,0.099,0.134,0.173,1,17,108,350,0.35,51.1%,17.20,12.9%,0,0,3,7,21,0.008,0.75,1.08,1.66,2.95,0.294,30.47,0.008,0.64,0.166,16.52,0.032,3.57,0.023,2.45,0.040,4.08
Ax1Le,6.0,0.67,0.69,75.49,122,0.118,0.113,0.125,0.209,3,17,78,280,0.33,50.3%,13.25,17.8%,1,0,0,4,17,0.011,1.09,1.31,1.23,3.99,0.293,30.43,0.004,0.43,0.116,11.67,0.009,1.05,0.031,3.75,0.035,4.07
iM,6.0,0.66,0.67,75.09,124,0.127,0.124,0.097,0.167,0,24,99,350,0.30,45.3%,15.01,15.7%,0,0,4,7,18,0.011,0.92,1.16,1.31,2.10,0.288,31.26,0.001,0.09,0.152,15.76,0.022,2.41,0.014,1.85,0.026,2.90
TeSeS,6.0,0.66,0.68,75.27,189,0.100,0.112,0.127,0.202,2,18,100,355,0.35,52.9%,14.62,15.6%,0,0,2,6,15,0.012,1.12,1.52,1.56,3.55,0.284,29.40,0.002,0.17,0.193,19.66,0.015,1.80,0.026,2.99,0.033,3.77
rain,6.0,0.65,0.68,76.04,107,0.120,0.128,0.104,0.201,1,27,142,537,0.39,60.7%,14.67,14.6%,0,1,2,14,19,0.010,0.97,1.31,1.63,3.48,0.287,30.33,0.001,0.06,0.110,12.00,0.025,3.18,0.022,2.84,0.039,3.85
Perfecto,6.0,0.64,0.58,68.05,95,0.049,0.047,0.154,0.192,1,14,59,299,0.28,44.8%,13.63,15.8%,0,2,3,12,18,0.019,1.33,1.64,1.65,2.97,0.268,26.81,0.029,2.50,0.108,9.46,0.017,2.03,0.023,2.85,0.030,3.76
floppy,5.9,0.64,0.67,73.62,114,0.084,0.091,0.125,0.185,2,19,73,230,0.32,50.4%,13.40,17.3%,0,1,3,5,9,0.011,0.85,1.06,1.27,1.90,0.243,25.51,0.002,0.19,0.124,12.64,0.013,1.57,0.026,3.55,0.033,3.96
Maden,5.9,0.66,0.68,74.25,100,0.090,0.107,0.121,0.191,1,20,80,304,0.33,49.3%,12.85,18.0%,0,1,2,6,18,0.014,1.01,1.43,1.48,3.32,0.260,26.81,0.005,0.48,0.175,17.72,0.015,2.13,0.023,2.58,0.029,3.10
fame,5.9,0.63,0.63,69.23,124,0.089,0.084,0.134,0.173,1,14,65,247,0.38,59.7%,10.09,20.0%,0,0,2,7,13,0.015,1.06,1.44,1.77,1.52,0.290,29.28,0.004,0.32,0.153,14.46,0.001,0.25,0.036,3.53,0.031,3.63
sjuush,5.9,0.63,0.66,72.47,95,0.082,0.089,0.124,0.194,3,19,87,323,0.31,49.3%,12.22,18.6%,0,0,3,8,18,0.015,1.17,1.49,1.78,2.81,0.258,26.64,0.006,0.51,0.174,18.06,0.014,1.81,0.023,2.84,0.028,3.30
Grim,5.9,0.65,0.68,72.68,94,0.088,0.120,0.150,0.181,0,14,78,270,0.34,52.0%,12.45,18.1%,0,0,0,5,13,0.013,0.80,0.98,1.46,2.78,0.265,27.22,0.006,0.63,0.126,11.96,0.002,0.41,0.029,3.23,0.024,2.22
n0rb3r7,5.9,0.61,0.65,71.35,112,0.088,0.101,0.100,0.206,0,10,70,243,0.31,50.1%,12.27,18.2%,0,0,1,6,14,0.009,0.97,1.34,2.02,2.92,0.250,26.51,0.004,0.21,0.072,7.08,0.001,0.33,0.030,3.70,0.022,2.73
Hobbit,5.8,0.64,0.68,70.47,95,0.101,0.114,0.120,0.199,2,10,84,294,0.30,47.2%,14.54,16.1%,0,0,2,5,20,0.011,0.98,1.28,1.28,3.25,0.249,25.46,0.016,1.38,0.118,11.63,0.004,0.65,0.027,2.71,0.034,3.80
nexa,5.7,0.60,0.64,66.45,116,0.059,0.067,0.133,0.190,1,11,63,216,0.31,52.3%,9.65,20.8%,0,0,2,7,13,0.012,0.84,1.01,1.71,2.96,0.206,21.28,0.001,0.09,0.149,13.99,0.016,1.87,0.017,2.10,0.015,1.78
apEX,5.7,0.58,0.67,70.52,113,0.089,0.103,0.112,0.280,1,11,70,267,0.26,44.2%,19.36,11.1%,0,0,0,8,7,0.037,1.51,2.10,2.28,6.42,0.213,22.47,0.001,0.14,0.171,18.42,0.020,2.67,0.016,1.93,0.009,1.00
